1|10|2
1|11|1
1|11|2
1|12|2
1|13|1
1|14|0
1|17|2
1|18|1
1|18|2
1|9|1
2|15|0
2|15|1
2|15|2
2|16|1
2|20|0
2|20|2
2|22|0
2|23|0
2|23|1
2|24|2
3|10|0
3|11|2
3|14|1
3|16|1
3|19|0
3|19|1
3|19|2
3|24|1
3|24|2
3|9|0
4|10|2
4|12|1
4|12|2
4|13|2
4|16|0
4|18|0
4|20|1
4|21|0
4|23|0
4|24|2
5|10|1
5|11|2
5|21|1
5|21|2
5|22|1
5|23|2
5|24|0
5|24|2
5|8|2
5|9|1
6|12|2
6|14|0
6|15|0
6|15|1
6|16|1
6|17|1
6|17|2
6|20|2
6|23|1
6|8|0
7|10|1
7|11|2
7|12|2
7|17|0
7|17|2
7|19|1
7|20|2
7|22|0
7|23|0
7|23|1
8|12|2
8|14|1
8|15|0
8|15|1
8|15|2
8|20|1
8|23|0
8|23|2
8|24|2
8|8|1
9|10|0
9|11|0
9|11|2
9|16|0
9|17|1
9|18|2
9|22|0
9|22|2
9|23|0
9|24|0
10|11|1
10|14|2
10|16|1
10|18|2
10|20|0
10|21|2
10|22|2
10|23|1
10|24|1
10|9|2
11|13|0
11|13|2
11|14|1
11|15|1
11|16|0
11|19|0
11|20|0
11|20|2
11|22|2
11|23|2
12|10|0
12|12|0
12|13|1
12|13|2
12|14|0
12|15|0
12|18|2
12|19|0
12|19|1
12|19|2
13|11|0
13|14|2
13|15|1
13|16|1
13|18|2
13|20|1
13|21|1
13|23|1
13|23|2
13|8|0
14|10|2
14|11|0
14|15|0
14|16|0
14|17|0
14|17|2
14|19|1
14|19|2
14|23|2
14|24|2
15|11|0
15|11|2
15|12|1
15|13|1
15|15|0
15|17|0
15|18|2
15|19|1
15|19|2
15|23|0
16|12|0
16|12|2
16|16|2
16|18|2
16|19|1
16|21|0
16|21|2
16|22|0
16|22|1
16|22|2
17|10|1
17|12|2
17|13|0
17|13|1
17|21|1
17|22|1
17|23|0
17|24|2
17|8|0
17|8|1
18|11|0
18|13|2
18|15|1
18|18|1
18|19|2
18|22|2
18|23|2
18|8|1
18|8|2
18|9|1
19|14|0
19|15|0
19|16|1
19|18|1
19|19|1
19|19|2
19|20|0
19|21|2
19|22|1
19|24|1
20|10|0
20|10|1
20|12|0
20|13|0
20|13|1
20|19|1
20|21|1
20|23|1
20|24|0
20|9|2
21|11|0
21|13|0
21|17|1
21|18|0
21|18|2
21|22|0
21|23|0
21|23|2
21|8|1
21|8|2
22|10|1
22|11|1
22|11|2
22|12|2
22|16|1
22|17|0
22|22|0
22|23|2
22|9|0
22|9|2
23|10|0
23|14|0
23|17|0
23|19|2
23|21|1
23|23|1
23|8|1
23|9|0
23|9|1
23|9|2
24|11|1
24|13|1
24|13|2
24|15|0
24|16|1
24|16|2
24|17|1
24|23|1
24|24|2
24|8|2
25|12|1
25|13|2
25|14|0
25|19|2
25|23|0
25|23|1
25|23|2
25|24|0
25|24|1
25|24|2
26|10|1
26|11|1
26|13|0
26|14|0
26|14|1
26|16|2
26|20|0
26|24|0
26|8|2
26|9|0
27|11|2
27|13|0
27|14|0
27|14|1
27|14|2
27|15|1
27|19|0
27|20|0
27|22|0
27|9|1
28|10|2
28|14|0
28|15|1
28|15|2
28|16|0
28|17|0
28|17|1
28|19|0
28|24|1
28|8|1
29|12|2
29|14|0
29|15|0
29|16|1
29|16|2
29|17|1
29|23|0
29|23|1
29|24|2
29|8|1
30|14|1
30|15|0
30|16|0
30|17|0
30|17|1
30|21|1
30|22|0
30|23|0
30|8|0
30|9|0
31|11|0
31|11|1
31|12|0
31|12|1
31|13|2
31|14|0
31|16|1
31|21|0
31|21|2
31|8|2
32|10|2
32|11|0
32|11|2
32|13|2
32|16|0
32|19|1
32|21|1
32|23|0
32|24|2
32|9|2
33|12|2
33|13|1
33|18|1
33|19|2
33|20|0
33|20|2
33|22|2
33|8|0
33|9|1
33|9|2
34|10|1
34|14|2
34|16|1
34|17|1
34|21|1
34|22|1
34|23|1
34|23|2
34|9|0
34|9|1
35|10|2
35|15|0
35|18|0
35|19|1
35|20|2
35|21|0
35|22|1
35|23|0
35|24|0
35|9|1
36|10|1
36|12|0
36|15|1
36|16|0
36|18|1
36|18|2
36|22|1
36|8|2
36|9|1
36|9|2
37|10|2
37|13|0
37|14|2
37|15|1
37|16|2
37|17|0
37|18|1
37|19|1
37|21|2
37|8|0
38|10|0
38|13|0
38|17|0
38|19|1
38|19|2
38|21|0
38|22|2
38|23|1
38|24|2
38|9|1
39|10|0
39|10|1
39|15|0
39|15|2
39|17|2
39|19|1
39|19|2
39|21|0
39|22|1
39|8|0
40|11|0
40|12|1
40|13|1
40|13|2
40|14|0
40|16|1
40|17|1
40|20|1
40|23|0
40|24|1
41|12|0
41|13|2
41|17|2
41|18|0
41|19|1
41|20|2
41|24|0
41|24|1
41|8|0
41|9|0
42|10|1
42|11|0
42|12|0
42|13|0
42|13|2
42|14|1
42|15|1
42|22|1
42|8|0
42|9|0
43|10|1
43|13|0
43|13|1
43|17|2
43|18|1
43|20|2
43|23|0
43|8|0
43|8|1
43|9|1
44|12|0
44|13|1
44|19|2
44|20|0
44|20|1
44|22|0
44|22|2
44|23|2
44|24|1
44|24|2
45|10|1
45|12|2
45|15|2
45|16|0
45|18|1
45|22|0
45|22|1
45|23|0
45|24|0
45|9|1
46|10|2
46|12|1
46|12|2
46|14|0
46|18|0
46|18|1
46|19|1
46|20|1
46|23|0
46|23|2
47|13|0
47|16|0
47|16|2
47|17|1
47|18|0
47|19|0
47|20|2
47|24|2
47|8|2
47|9|2
48|10|1
48|11|1
48|12|1
48|12|2
48|15|1
48|17|2
48|18|0
48|21|2
48|24|1
48|8|1
49|13|1
49|15|0
49|18|0
49|20|2
49|22|1
49|23|2
49|24|1
49|9|0
49|9|1
49|9|2
50|10|2
50|11|2
50|12|2
50|18|1
50|18|2
50|19|1
50|20|0
50|20|1
50|23|1
50|24|0
51|13|2
51|14|2
51|15|0
51|16|0
51|18|1
51|19|1
51|22|1
51|23|0
51|23|1
51|8|1
52|10|0
52|10|2
52|13|0
52|13|2
52|14|0
52|15|1
52|20|1
52|20|2
52|23|0
52|9|0
53|11|2
53|12|2
53|13|0
53|13|2
53|14|1
53|16|1
53|17|1
53|18|0
53|23|1
53|9|2
54|10|0
54|11|0
54|13|1
54|17|0
54|17|2
54|18|0
