1|12|7|24
2|6|6|45
3|6|7|37
4|18|7|63
5|14|3|9
6|18|7|20
7|10|19|38
8|11|20|90
9|14|6|67
10|16|5|4
11|14|16|54
12|6|1|3
13|12|18|37
14|13|8|43
15|5|1|94
16|4|18|44
17|12|20|52
18|1|2|2
19|13|7|42
20|17|2|85
21|4|7|73
22|16|12|47
23|18|16|29
24|6|8|65
25|1|4|83
26|2|7|36
27|17|11|3
28|14|11|86
29|10|15|37
30|12|12|7
31|10|15|15
32|3|2|49
33|17|12|88
34|20|17|35
35|2|9|54
36|4|10|19
37|3|6|86
38|6|11|57
39|9|1|55
40|11|4|14
41|7|14|5
42|17|8|83
43|10|4|48
44|19|15|4
45|6|8|29
46|17|11|81
47|7|6|37
48|6|11|48
49|16|11|84
50|1|14|18
51|8|20|69
52|2|8|74
53|9|17|48
54|7|7|18
55|1|5|51
56|4|13|93
57|17|19|47
58|7|5|84
59|19|12|89
60|20|4|98
61|8|4|51
62|9|17|64
63|17|5|18
64|1|11|2
65|4|11|50
66|2|7|48
67|10|3|84
68|16|1|74
69|3|19|8
70|1|10|77
71|4|17|25
72|18|17|93
73|19|14|61
74|9|6|10
75|17|9|45
76|9|2|95
77|13|12|5
78|8|19|48
79|7|1|3
80|10|14|88
81|16|9|53
82|17|7|100
83|2|5|69
84|3|5|42
85|14|1|69
86|19|9|35
87|11|14|99
88|4|1|73
89|10|20|75
90|14|1|93
91|19|8|57
92|1|4|50
93|12|5|69
94|15|19|100
95|16|4|8
96|18|2|13
97|9|12|95
98|15|8|68
99|19|17|41
100|15|2|55
101|17|20|52
102|15|13|24
103|3|4|97
104|15|10|29
105|12|6|99
106|2|3|16
107|20|3|9
108|3|17|84
109|6|7|54
110|9|1|56
111|3|17|44
112|5|3|3
113|1|5|67
114|2|20|36
115|20|3|20
116|14|4|20
117|9|15|4
118|7|17|3
119|13|3|23
120|6|3|72
121|9|17|40
122|3|1|53
123|1|14|58
124|2|15|25
125|12|6|54
126|20|19|84
127|9|19|63
128|13|6|16
129|4|10|81
130|2|15|29
131|12|3|84
132|18|17|95
133|11|17|88
134|9|10|25
135|9|2|71
136|12|1|54
137|19|1|26
138|12|5|62
139|1|9|11
140|5|10|95
141|10|1|36
142|12|10|77
143|7|13|55
144|2|13|35
145|16|1|55
146|3|13|67
147|20|3|92
148|16|6|32
149|9|18|60
150|11|2|30
151|8|4|14
152|19|15|19
153|6|1|97
154|14|15|71
155|20|10|33
156|18|4|38
157|9|3|69
158|20|11|87
159|7|19|76
160|11|2|48
161|7|9|34
162|4|7|50
163|14|4|89
164|4|18|5
165|18|9|59
166|12|18|18
167|11|6|5
168|3|17|45
169|13|4|31
170|8|6|76
171|8|12|39
172|12|7|91
173|10|20|6
174|12|15|74
175|9|12|95
176|6|16|23
177|7|6|61
178|2|20|30
179|19|12|31
180|14|11|90
181|3|19|2
182|19|10|16
183|14|11|85
184|12|2|35
185|11|2|73
186|18|8|63
187|14|6|10
188|16|7|84
189|7|17|3
190|8|10|77
191|7|4|86
192|17|3|64
193|5|8|61
194|5|11|99
195|8|1|14
196|14|10|35
197|7|3|11
198|5|11|49
199|2|17|58
200|15|16|37
201|7|2|27
202|20|10|35
203|3|7|51
204|7|11|47
205|13|10|63
206|1|15|26
207|7|1|94
208|19|5|24
209|8|7|83
210|14|1|32
211|1|19|30
212|3|11|10
213|8|13|90
214|19|19|19
215|1|4|66
216|14|4|3
217|9|2|93
218|18|12|45
219|17|12|9
220|4|5|89
221|6|17|27
222|10|19|9
223|16|6|66
224|7|17|57
225|1|9|82
226|13|14|20
227|11|2|75
228|9|11|89
229|12|7|45
230|1|10|1
231|15|8|95
232|19|9|86
233|13|16|41
234|19|3|47
235|15|15|83
236|7|7|79
237|1|9|26
238|9|18|53
239|9|9|81
240|11|2|94
241|10|16|89
242|4|6|62
243|9|18|92
244|20|16|66
245|18|2|3
246|17|8|38
247|17|1|71
248|18|9|62
249|2|9|89
250|5|20|93
251|17|9|96
252|8|4|24
253|7|13|54
254|10|4|16
255|19|13|68
256|3|9|25
257|13|5|40
258|3|15|87
259|11|8|89
260|7|12|22
261|4|8|90
262|8|7|85
263|9|14|60
264|15|15|89
265|20|14|52
266|6|8|64
267|12|12|72
268|18|14|100
269|13|16|33
270|16|2|21
271|2|17|21
272|16|16|23
273|5|4|20
274|7|10|37
275|11|9|6
276|20|7|30
277|18|18|13
278|12|16|94
279|12|8|64
280|7|15|14
281|6|8|35
282|5|3|57
283|10|7|34
284|8|13|56
285|20|16|69
286|18|15|76
287|2|4|68
288|18|7|16
289|19|18|76
290|15|5|33
291|13|2|44
292|20|6|64
293|14|15|77
294|11|2|10
295|18|14|52
296|18|11|86
297|11|12|77
298|14|1|95
299|12|19|6
300|9|14|10
301|12|6|94
302|10|17|12
303|14|10|87
304|5|13|5
305|20|2|3
306|10|19|55
307|18|2|56
308|10|15|54
309|1|19|7
310|9|7|14
311|13|19|55
312|18|20|97
313|9|14|30
314|19|18|22
315|10|17|95
316|14|18|17
317|8|7|98
318|5|17|70
319|3|17|84
320|20|17|81
321|1|9|26
322|8|6|63
323|4|7|22
324|1|5|13
325|18|14|80
326|8|7|39
327|17|14|78
328|7|10|71
329|12|13|46
330|6|4|76
331|7|4|3
332|18|4|89
333|1|19|10
334|16|19|21
335|9|16|60
336|9|15|62
337|19|12|15
338|7|18|43
339|19|1|64
340|11|7|86
341|19|5|22
342|7|15|29
343|8|15|1
344|8|10|36
345|3|18|88
346|12|19|51
347|6|9|75
348|6|15|23
349|7|5|67
350|12|7|21
351|20|17|67
352|15|3|63
353|14|2|38
354|10|1|49
355|5|4|40
356|6|15|93
357|14|12|45
358|13|9|75
359|2|15|52
360|11|18|21
361|18|9|25
362|9|4|100
363|7|17|33
364|10|6|35
365|3|2|61
366|14|8|3
367|6|13|24
368|7|6|4
369|13|7|21
370|16|9|36
371|4|6|2
372|1|6|41
373|11|4|14
374|3|14|91
375|8|16|6
376|15|1|15
377|9|19|34
378|14|5|4
379|7|9|49
380|7|16|34
381|5|12|81
382|3|12|22
383|4|14|87
384|1|17|80
385|15|4|84
386|11|10|36
387|6|18|65
388|6|11|81
389|10|10|59
390|13|16|50
391|3|12|43
392|11|14|29
393|12|17|8
394|8|9|12
395|10|4|9
396|15|6|94
397|4|12|36
398|12|9|25
399|3|18|0
400|15|2|49
401|3|5|39
402|13|15|41
403|15|18|26
404|10|17|44
405|13|6|16
406|11|12|83
407|18|16|25
408|3|7|78
409|19|1|11
410|15|16|7
411|7|10|68
412|11|2|73
413|20|8|44
414|17|9|68
415|11|1|90
416|12|3|27
417|7|1|82
418|16|3|18
419|2|13|17
420|9|8|4
421|5|14|29
422|10|16|35
423|8|15|50
424|16|12|50
425|20|14|11
426|9|6|45
427|10|4|9
428|10|19|73
429|16|12|96
430|3|20|9
431|8|17|30
432|3|6|98
433|11|13|84
434|6|8|16
435|2|7|38
436|19|8|98
437|10|9|78
438|1|19|36
439|14|6|86
440|12|20|68
441|17|8|25
442|8|10|92
443|14|12|6
444|6|9|12
445|2|11|79
446|3|1|94
447|9|10|16
448|10|10|97
449|9|15|51
450|12|19|63
451|15|15|4
452|13|14|71
453|9|7|30
454|9|5|100
455|16|18|27
456|14|12|58
457|19|20|3
458|13|1|72
459|16|1|35
460|5|13|90
461|14|7|44
462|9|11|26
463|6|11|2
464|5|11|55
