1|67|16|61|98
2|60|48|61|67
3|80|88|19|36
4|24|12|41|19
5|5|41|16|30
6|28|53|45|87
7|48|84|15|20
8|42|90|25|95
9|46|82|58|50
10|40|77|16|33
11|59|23|36|19
12|96|92|38|56
13|33|2|86|94
14|37|6|47|55
15|35|74|75|55
16|77|33|16|96
17|91|5|45|36
18|12|70|35|17
19|96|92|2|2
20|86|94|58|39
21|42|74|100|47
22|11|57|1|46
23|87|42|68|28
24|25|43|90|26
25|69|30|28|14
26|76|28|99|22
27|25|21|92|13
28|51|86|19|1
29|55|35|48|97
30|34|25|43|2
31|31|1|97|33
32|34|0|59|15
33|51|30|97|79
34|96|39|68|16
35|37|18|29|1
36|19|77|2|99
37|56|19|96|27
38|67|66|29|57
39|60|60|57|73
40|82|48|54|62
41|4|65|7|18
42|30|7|34|38
43|37|81|39|73
44|79|6|72|41
45|21|36|69|89
46|97|17|45|50
47|62|6|22|32
48|40|44|61|52
49|58|99|70|69
50|43|69|73|7
51|45|96|80|41
52|75|91|83|75
53|14|81|63|53
54|33|68|2|36
55|37|73|69|92
56|16|77|43|25
57|32|36|94|3
58|54|19|10|79
59|19|21|20|96
60|17|69|36|57
61|46|42|10|33
62|71|72|70|46
63|96|82|37|2
64|89|10|94|61
65|96|32|64|38
66|38|88|17|97
67|83|61|92|36
68|17|20|94|58
69|89|33|91|96
70|30|9|8|50
71|53|28|52|62
72|70|94|89|48
73|47|91|87|16
74|55|0|79|21
75|82|99|23|45
76|73|85|69|20
77|87|69|83|33
78|43|82|83|14
79|23|79|43|92
80|83|16|40|43
81|8|29|26|7
82|85|92|95|1
83|8|9|12|70
84|20|21|57|19
85|90|17|18|23
86|20|2|38|29
87|94|58|88|81
88|15|53|90|94
89|94|13|1|81
90|59|67|48|94
91|86|52|29|47
92|37|46|66|78
93|37|10|68|52
94|16|50|48|18
95|67|79|99|62
96|67|73|56|80
97|67|24|26|89
98|20|75|48|99
99|97|7|45|38
100|28|12|15|19
101|90|67|72|42
102|6|87|60|38
103|29|37|0|81
104|16|33|26|47
105|10|63|35|63
106|99|67|27|57
107|39|57|61|54
108|37|92|74|6
109|29|70|15|78
110|50|24|16|49
111|69|48|96|10
112|98|69|57|49
113|27|47|78|30
114|8|7|53|31
115|68|64|52|58
116|96|8|30|12
117|42|54|91|99
118|30|30|13|52
119|7|39|28|92
120|38|91|6|34
121|9|78|30|81
122|37|30|78|32
123|51|5|56|49
124|82|13|28|56
125|56|95|20|84
126|77|70|1|44
127|73|6|1|69
128|34|64|69|54
129|47|83|34|46
130|62|76|44|74
131|59|46|90|61
132|40|73|84|48
133|43|87|98|91
134|26|68|0|43
135|47|73|79|73
136|56|66|26|31
137|51|44|77|24
138|64|60|99|79
139|87|9|39|37
140|96|43|51|38
141|86|77|28|62
142|81|41|71|7
143|68|51|80|3
144|21|72|34|7
145|9|24|31|36
146|67|80|81|50
147|59|5|53|87
148|85|72|24|0
149|20|54|28|99
150|14|33|5|41
151|28|2|10|77
152|98|77|84|89
153|75|66|24|18
154|62|67|34|60
155|53|55|46|66
156|61|6|33|7
157|56|79|5|68
158|82|70|75|41
159|58|9|17|51
160|88|32|39|17
161|64|54|35|92
162|2|38|51|59
163|43|76|24|45
164|28|5|19|88
165|57|29|21|10
166|35|55|51|63
167|95|78|80|77
168|18|25|94|84
169|4|67|41|16
170|19|46|41|87
171|62|78|98|55
172|99|53|8|73
173|76|48|83|8
174|99|56|37|73
175|2|53|15|70
176|46|1|19|50
177|60|20|32|33
178|60|22|86|6
179|29|16|27|93
180|53|45|65|73
181|78|17|47|91
182|75|89|63|81
183|11|50|16|1
184|94|18|17|87
185|18|8|86|46
186|55|93|19|93
187|94|81|51|52
188|77|80|91|13
189|10|86|70|41
190|55|70|89|86
191|92|44|87|60
192|67|76|13|34
193|68|15|80|75
194|63|14|68|56
195|51|85|74|25
196|31|60|5|95
197|58|47|35|53
198|40|25|4|15
199|56|46|42|0
200|26|43|34|48
201|50|53|22|21
